NodeIdentifier1,NodeIdentifier2,InTestSet
P38B,GR_S226,True
HGK,GR_T519,True
Akt1,GSK3B_S9,True
ERK2,GSK3B_T43,True
ERK1,GTF2I iso2_S627,True
P38D,GYS1_T278,True
PKG1,H1R_S396,True
PKACA,H3F3A_S10,True
DYRK3,H3F3A_T45,True
AurB,H3_S10,True
PAK1,H3_S10,True
Pim1,H3_S10,True
RSK2,H3_S10,True
VRK1,H3_T3,True
PAK2,HACE1_S385,True
CK2A1,HDAC3_S424,True
TAK1,HDAC4_S246,True
PKCD,HDAC5_S259,True
PKACA,HDAC5_S279,True
ERK2,HDAC6_T1031,True
TAK1,HDAC7_S155,True
AMPKA2,HIPK2_T119,True
Src,HIPK2_Y361,True
DYRK2,HSF1_S307,True
P38A,HSF1_S307,True
P38G,HSF1_S307,True
mTOR,HSF1_S326,True
PKACA,HSL_S853,True
CK2A1,HSP90A_S726,True
ATM,HSP90A_T7,True
CK2A1,Huntingtin_S13,True
TBK1,Huntingtin_S13,True
IKKB,Huntingtin_T3,True
Nik,IKKB_S181,True
IKKB,IKKG_S31,True
Src,IKKG_Y374,True
IRAK4,IRAK1_T387,True
Cot,IRF3_S175,True
TBK1,IRF3_S385,True
IKKB,IRF3_S398,True
IKKB,IRF3_T404,True
Arg,IRF3_Y292,True
IKKE,IRF7_S477,True
TBK1,IRF7_S479,True
Pim1,IRS2_S1149,True
P38A,ISL1_S269,True
PKCB iso2,ITGB2_T758,True
TEC,ITK_Y180,True
AurC,IkB-alpha_S262,True
RSK2,IkB-alpha_S32,True
SGK1,IkB-alpha_S32,True
Nik,IkB-alpha_S36,True
JNK1,JIP1_T103,True
ASK1,JNK1_Y185,True
MKK7,JNK1_Y185,True
CK2A1,JNK2_S407,True
CDK3,Jun_S73,True
ERK2,Jun_S73,True
ERK7,Jun_S73,True
PBK,Jun_S73,True
MAPKAPK2,K20_S13,True
ERK2,K8_S432,True
Akt1,KHSRP_S193,True
ERK2,KIBRA_S548,True
LATS1,KIF23_S814,True
Chk1,KIFC1_S26,True
PKCI,KLF10_S384,True
PKCZ,KLF10_T445,True
GRK2,KOR-3_S346,True
PKACA,KRas iso2_S181,True
PKCA,Ku70_S78,True
PKCA,Kv3.4_S21,True
SGK2,L-plastin_S5,True
LYN,LAB_Y118,True
ZAP70,LAT iso2_Y171,True
Chk2,LATS2_S408,True
Lck,LAX1_Y294,True
CDK2,LIG1_S76,True
CDK2,LIG3_S913,True
ROCK1,LIMK1_T508,True
ERK1,LYL1_S36,True
PKACA,Lasp-1_S146,True
Lck,Lck_Y394,True
GSK3B,MAFA_S49,True
CDK1,MAP4_S696,True
ERK2,MAPKAPK5_T182,True
ERK2,MBP_T232,True
JNK1,MCL1_S64,True
ERK1,MCL1_T163,True
CDC7,MCM2_S27,True
CDK7,MCM2_S53,True
CK2A1,MCM2_S53,True
ATR,MCM3_S535,True
ERK2,MCR_S227,True
ERK2,MCR_S238,True
ERK2,MCR_S263,True
ERK1,MCR_S361,True
SGK3,MDM2_S166,True
ATM,MDM2_S386,True
PKM,MDM2_T351,True
CDK4,MDM4_S314,True
HIPK1,MECP2_S216,True
CDK7,MED1_T1457,True
ERK5,MEF2C iso3_S387,True
RAF1,MEK1_S222,True
PINK1,MFN2_S442,True
GSK3B,MITF iso9_S298,True
ERK1,MITF iso9_S73,True
SGK1,MKK4_S80,True
MKK4,MKK4_T261,True
ROCK2,MRLC2V_S15,True
DLK,MRLC2_S20,True
PKACA,MYBPC3_S304,True
PKCA,MYH9_S1916,True
Abl,Met_Y1349,True
Ron,Met_Y1356,True
ERK2,Mnk1_T255,True
PKCT,Moesin_T558,True
ROCK1,Moesin_T558,True
IKKA,Myc_S67,True
ERK2,N-Myc_S62,True
PKCG,NADK_S64,True
ATR,NBS1_S615,True
OSR1,NCCT_T55,True
STLK3,NCCT_T60,True
PLK1,NDR1_T7,True
SGK1,NDRG2_T348,True
PKACA,NEDD4L_S342,True
PKACA,NEDD4L_S448,True
SGK1,NEDD4L_T367,True
PKCB,NFAT90_S647,True
p90RSK,NFkB-p65_S276,True
IKKB,NFkB-p65_S311,True
PKACA,NFkB-p65_S42,True
Akt1,NHE1_S703,True
ROCK1,NHE1_T653,True
GRK2,NHE5_S702,True
STLK3,NKCC1_T207,True
OSR1,NKCC2_T105,True
ERK2,NOXA1_S282,True
Cot,NPM1_T199,True
Fyn,NRF2_Y576,True
ERK1,NUP153_S334,True
ERK2,NUP153_T388,True
ERK1,NUP214_S1710,True
CDK19,Notch 1_T2511,True
CDK1,NuMA-1_S2087,True
AurB,NuMA-1_T2055,True
GSK3A,OSBP2_S763,True
JNK3,OSBP2_S763,True
ERK1,OSBP2_S766,True
GSK3B,OSBP2_S766,True
JNK3,OSBP2_S766,True
PKACA,Oct4_S289,True
MKK4,P38A_Y182,True
Src,PBK_Y74,True
GSK3A,PD-L1_S283,True
p70S6K,PDCD4_S457,True
PKCA,PDE3A_S312,True
PKACA,PDE3A_S438,True
PDHK1,PDHA1_S293,True
PDHK3,PDHA1_S293,True
AMPKA1,PDHA1_S314,True
AMPKA2,PDHA1_S314,True
Abl,PDHA1_Y301,True
PDHK4,PDHA2_S291,True
TBK1,PELI1_S293,True
IRAK4,PELI1_S78,True
IRAK1,PELI1_S82,True
TBK1,PELI1_T80,True
CK1E,PER2_S665,True
MAPKAPK2,PFKFB3_S461,True
ULK2,PIK3C3_S249,True
CDK5,PIK3C3_T159,True
PRKD1,PIK4CB iso2_S294,True
JNK2,PIN1_S115,True
PKACA,PIN1_S71,True
PKCB,PKCB iso2_S660,True
PKCE,PKCE_S729,True
mTOR,PKCE_T566,True
FGFR1,PLCG1_Y783,True
AurA,PLK1_T210,True
ATM,POLL_T204,True
CDK9,POLR2A_S1616,True
DNAPK,POLR2A_S1616,True
CDK13,POLR2A_S1619,True
CDK9,PPAR-gamma_S112,True
ROCK2,PPP1R14B_T57,True
PKCH,PRKD1_S738,True
PKCE,PRKD1_S742,True
Src,PRKD1_Y463,True
PKCA,PRKD2_S706,True
PKCH,PRKD2_S876,True
PRKD2,PRKD2_S876,True
Mnk1,PSF_S283,True
NEK6,PSMD2_S361,True
Pim2,PSMD2_S361,True
PKCZ,PTEN_T382,True
FGFR3,PTEN_Y240,True
Lck,PTEN_Y240,True
ERK2,PXN iso2_S126,True
ERK1,PXN iso2_S83,True
CDK2,PXR_S350,True
DNAPK,Pnk1_S126,True
TAK1,RAB8A_T72,True
LATS1,RAF1_S259,True
PAK4,RAN_S135,True
PKG1,RAP1B_S179,True
MSK1,RARA_S369,True
ERK1,RARG_S79,True
GTF2F1,RARG_S79,True
PKCD,RASGRP3_T133,True
ATM,RASSF1 iso2_S131,True
Chk2,RBM28_S122,True
Akt2,RED1_T553,True
CDK5,RFA2_S29,True
DNAPK,RFA2_T21,True
PKG1,RHOA_S188,True
ERK2,RPS3_T42,True
PKCA,RRAD_S273,True
CDK1,RRM2_S20,True
ERK2,RRas2_S186,True
Fyn,RSK2_Y529,True
Src,RSK2_Y644,True
Src,RSK2_Y707,True
JNK1,RXRA_S260,True
AMPKA1,Raptor_S722,True
CDK6,Rb_S780,True
PKACA,Rb_S780,True
CDK4,Rb_S788,True
CDK18,Rb_S795,True
CDK3,Rb_S807,True
CDK7,Rb_S807,True
CDK6,Rb_S811,True
CDK4,Rb_T373,True
FAK,Ret_Y905,True
CAMK2A,SCN5A_S1503,True
PIK3CG,SET iso2_S9,True
AMPKG2,SF2_S133,True
PKACB,SFRS2_S121,True
PKACA,SFRS2_S128,True
EGFR,SHC1 iso2_Y239,True
Syk,SHC1 iso2_Y240,True
Lck,SHC1 iso2_Y317,True
Syk,SHC1 iso2_Y317,True
EGFR,SHC1 iso3_Y195,True
EGFR,SHC3 iso2_Y218,True
TrkB,SHC3 iso2_Y218,True
PKCA,SHOC2_T71,True
Lck,SHP-1_Y564,True
ATM,SIAH1_S19,True
NLK,SMAD2_S250,True
TGFBR1,SMAD2_S465,True
CK2A1,SNCA_S129,True
CK1A,SNCA_S87,True
Abl,SNCA_Y125,True
Fyn,SNCA_Y125,True
Syk,SNCA_Y125,True
BLK,SOCS1_Y80,True
PKACA,SOX9_S181,True
ERK2,SPHK2_T614,True
CDK2,SPT5_S666,True
CDK9,SPT5_T775,True
ERK2,SRC-1_T1179,True
PKACA,SRC-3_S857,True
JNK1,SRC-3_S860,True
P38A,SRC-3_S867,True
P38A,SREBP-1_T426,True
ERK1,SREBP-2_S432,True
CK2A2,SRPK1_S555,True
p70S6K,SRPK2_S494,True
Tyk2,STAT1_Y701,True
GSK3A,STAT2_S393,True
TBK1,STAT2_T404,True
NEK6,STAT3_S727,True
FGFR1,STAT3_Y705,True
NEK6,STAT3_Y705,True
ERK1,STAT5A_S780,True
Src,STAT5B_Y699,True
PLK4,STIL_S1116,True
CDK1,STMN1_S38,True
ATM,Smc1_S957,True
Src,Src_Y419,True
TAK1,TAB1_S456,True
MAPKAPK3,TAB3_S506,True
PKCD,TACSTD2_S322,True
CK1D,TDP-43_S395,True
CK1D,TDP-43_S403,True
CK1A,TDP-43_S404,True
CK1A,TDP-43_S410,True
MAPKAPK5,TH iso3_S404,True
PKACA,TH iso4_S44,True
MAPKAPK5,TH_S19,True
ERK1,TOB1_S152,True
JNK2,TOB1_S154,True
CDK1,TOP2A_S1213,True
PKACA,TRPC6_T70,True
PKCD,TSC2_S939,True
CDK1,TTK_S281,True
BRAF,TTK_S436,True
TTK,TTK_T676,True
BRSK1 iso2,TUBG1_S131,True
GSK3B,Tau iso8_S199,True
DYRK1A,Tau iso8_S202,True
ERK1,Tau iso8_S202,True
TTBK1,Tau iso8_S202,True
AMPKA1,Tau iso8_S214,True
GSK3B,Tau iso8_S214,True
ERK2,Tau iso8_S235,True
AMPKA1,Tau iso8_S262,True
Chk2,Tau iso8_S262,True
GSK3A,Tau iso8_S262,True
PKACA,Tau iso8_S262,True
TBK1,Tau iso8_S324,True
PKCB,Tau iso8_S352,True
PKN1,Tau iso8_S352,True
MARK1,Tau iso8_S356,True
AMPKA1,Tau iso8_S396,True
DYRK1A,Tau iso8_S396,True
PKACA,Tau iso8_S409,True
CAMK2A,Tau iso8_S416,True
GSK3B,Tau iso8_S46,True
ERK1,Tau iso8_T153,True
ERK2,Tau iso8_T153,True
JNK2,Tau iso8_T181,True
CK1D,Tau iso8_T205,True
JNK2,Tau iso8_T212,True
LRRK2,Tau iso8_T212,True
CDK2,Tau iso8_T231,True
GSK3B,Tau iso8_T231,True
JNK2,Tau iso8_T231,True
GSK3B,Telethonin_S157,True
P38A,Tip60 iso2_T106,True
PKACA,Titin_S4185,True
ERK2,Trap170_S986,True
ATR,USP28_S67,True
PKCA,VASP_S157,True
PKACA,VASP_T278,True
PKCA,VTN_S397,True
CDK1,Vimentin_S56,True
Yes,WBP2_Y231,True
SGK1,WNK1_T60,True
ATM,WRN_S1141,True
ATM,XPA_S173,True
DNAPK,XPA_S196,True
LATS2,YAP1_S109,True
NLK,YAP1_S128,True
LYN,YY1_Y254,True
CDK2,ZC3H11A_T321,True
Akt1,acinus_S1180,True
Akt1,ataxin-1_S775,True
EGFR,beclin 1_Y233,True
PERK,eIF2-alpha_S49,True
PKR,eIF2-alpha_S49,True
CDK5,eNOS_S114,True
Abl,galectin-3_Y118,True
ERK2,hnRNP E2_S272,True
CDK2,hnRNP K_S216,True
JNK1,hnRNP K_S216,True
PLK3,occludin_S471,True
IKKB,p16-INK4A_S8,True
JNK3,p21Cip1_S130,True
ERK2,p21Cip1_S98,True
Akt1,p21Cip1_T145,True
GSK3A,p21Cip1_T57,True
P38A,p21Cip1_T57,True
CDK16,p27Kip1_S10,True
Pim1,p27Kip1_T157,True
CDK1,p300_S1038,True
CDK1,p300_S2039,True
ERK2,p300_S2279,True
PKCI,p300_S89,True
PKCA,p40phox_S315,True
Akt1,p47phox_S328,True
PKCD,p47phox_S328,True
IRAK4,p47phox_S359,True
CK1D,p53_S20,True
JNK2,p53_S20,True
CDK1,p53_S315,True
Chk2,p53_S37,True
PKACA,p53_S378,True
DYRK2,p53_S46,True
CK1D,p53_T18,True
P38A,p63 iso2_S301,True
P38A,p63 iso2_S66,True
CDK1,p70S6K_S434,True
PKACA,separase_S1501,True
CDK2,snRNP 70_S226,True
JNK1,14-3-3 beta_S186,False
PLK3,14-3-3 epsilon_T208,False
LATS2,14-3-3 gamma_S59,False
JNK1,14-3-3 sigma_S186,False
CK1A,14-3-3 theta_S232,False
CK2A1,14-3-3 theta_S232,False
JNK1,14-3-3 zeta_S184,False
MAPKAPK2,14-3-3 zeta_S58,False
PKACA,14-3-3 zeta_S58,False
Pim1,14-3-3 zeta_S64,False
Bcr,14-3-3 zeta_T232,False
CK1A,14-3-3 zeta_T232,False
DYRK2,4E-BP1_S101,False
CK2A1,4E-BP1_S112,False
mTOR,4E-BP1_S44,False
DYRK2,4E-BP1_S65,False
ERK1,4E-BP1_S65,False
ERK2,4E-BP1_S65,False
GSK3B,4E-BP1_S65,False
mTOR,4E-BP1_S65,False
CDK1,4E-BP1_S83,False
ATM,4E-BP1_S94,False
ERK2,4E-BP1_T37,False
GSK3B,4E-BP1_T37,False
mTOR,4E-BP1_T37,False
CK1E,4E-BP1_T41,False
mTOR,4E-BP1_T41,False
ERK2,4E-BP1_T46,False
GSK3B,4E-BP1_T46,False
mTOR,4E-BP1_T46,False
CK1E,4E-BP1_T50,False
CDK1,4E-BP1_T70,False
Cot,4E-BP1_T70,False
ERK2,4E-BP1_T70,False
GSK3B,4E-BP1_T70,False
JNK1,4E-T_S513,False
JNK1,4E-T_S587,False
JNK1,4E-T_S693,False
JNK1,4E-T_S752,False
CDK5,5-HT(1A)_T314,False
CDK5,5-HT(6)_S350,False
CAMK2A,5-LO_S272,False
MAPKAPK2,5-LO_S272,False
PKACA,5-LO_S448,False
PKACA,5-LO_S524,False
ERK2,5-LO_S664,False
PKACA,5-LO_S671,False
FGR,5-LO_Y43,False
Hck,5-LO_Y43,False
Yes,5-LO_Y43,False
FGR,5-LO_Y446,False
Yes,5-LO_Y446,False
FGR,5-LO_Y54,False
Hck,5-LO_Y54,False
Yes,5-LO_Y54,False
Hck,5-LO_Y95,False
ATM,53BP1_S1219,False
AMPKA1,53BP1_S1317,False
AMPKG2,53BP1_S1317,False
AurB,53BP1_S1342,False
ATR,53BP1_S166,False
CDK1,53BP1_S1678,False
Chk1,53BP1_S1678,False
ATR,53BP1_S176,False
ATM,53BP1_S1778,False
ATR,53BP1_S178,False
ATM,53BP1_S25,False
ATM,53BP1_S29,False
ATR,53BP1_S452,False
ATR,53BP1_S831,False
CDK1,53BP1_T1609,False
ATR,53BP1_T302,False
ERK2,53BP2_S827,False
CK2A1,A-Myb_S7,False
CDK1,AAK1_T389,False
CDK2,AARSL_T673,False
Chk2,AATF_S143,False
CK2A1,AATF_S155,False
ATM,AATF_S189,False
CK2A1,AATF_S288,False
CK2A1,AATF_S320,False
CK2A1,AATF_S321,False
Chk2,AATF_S510,False
MAPKAPK2,AATF_T366,False
PKACA,ABCA1_S1042,False
CK2A1,ABCA1_S1255,False
EGFR,ABCA1_S2054,False
PKACA,ABCA1_S2054,False
CK2A1,ABCA1_T1242,False
CK2A1,ABCA1_T1243,False
PKCA,ABCB1_S661,False
PKACA,ABCB1_S667,False
PKCA,ABCB1_S671,False
PKACA,ABCB1_S683,False
CK2A1,ABCC1_T249,False
CK2A1,ABCF1_S109,False
CK2A1,ABCF1_S140,False
Pim1,ABCG2_T362,False
PKACA,ACADVL_S586,False
FGFR1,ACAT1_Y407,False
AMPKA1,ACC1_S80,False
AMPKA2,ACC1_S80,False
AMPKA1,ACC2_S222,False
CK2A1,ACE2_S787,False
CK2A1,ACE_S1299,False
GSK3B,ACF7_S7222,False
GSK3B,ACF7_S7226,False
GSK3B,ACF7_S7230,False
GSK3B,ACF7_S7234,False
GSK3B,ACF7_S7310,False
GSK3B,ACF7_S7318,False
GSK3B,ACF7_S7322,False
GSK3B,ACF7_S7326,False
GSK3B,ACF7_S7330,False
CDK2,ACF7_T7213,False
Akt1,ACLY_S451,False
Akt1,ACLY_S455,False
Akt1,ACLY_T447,False
Src,ACLY_Y1006,False
LYN,ACLY_Y131,False
LYN,ACLY_Y227,False
Src,ACLY_Y227,False
LYN,ACLY_Y252,False
LYN,ACLY_Y384,False
LYN,ACLY_Y659,False
LYN,ACLY_Y682,False
Src,ACLY_Y682,False
Lck,ACP1_Y132,False
Lck,ACP1_Y133,False
AMPKA1,ACSS2_S659,False
FAK,ACTN1_Y12,False
Hck,ADAM15_Y715,False
Lck,ADAM15_Y715,False
Akt1,ADAR_T1033,False
Akt2,ADAR_T1033,False
CDK1,ADD1_S12,False
CDK1,ADD1_S355,False
ERK2,ADD1_S355,False
ERK2,ADD1_S358,False
ERK2,ADD1_S669,False
ERK2,ADD1_S707,False
PKCA,ADD1_S716,False
Chk1,ADD1_S726,False
PKACA,ADD1_S726,False
PKCA,ADD1_S726,False
PKCD,ADD1_S726,False
PKCZ,ADD1_S726,False
ROCK1,ADD1_T445,False
CDK5,ADD1_T724,False
ERK2,ADD2_S592,False
ERK2,ADD2_S596,False
CDK5,ADD2_S604,False
GSK3B,ADD2_S613,False
GSK3B,ADD2_S693,False
CDK5,ADD2_S701,False
Chk1,ADD2_S713,False
PKCZ,ADD2_S713,False
PKCA,ADD2_S726,False
Fyn,ADD2_Y489,False
CDK2,ADD3_S423,False
GRK2,ADIPOR1_S7,False
GRK2,ADIPOR1_T24,False
GRK2,ADIPOR1_T53,False
GRK2,ADRA1D_S300,False
PKCA,ADRA1D_S300,False
PKCA,ADRA1D_S323,False
GRK2,ADRA1D_S332,False
PKCA,ADRA1D_S332,False
GRK2,ADRA1D_S334,False
PKCA,ADRA1D_S334,False
GRK2,ADRA1D_S516,False
GRK2,ADRA1D_S518,False
PKCA,ADRA1D_S518,False
PKACA,ADRB1_S312,False
PKACA,ADRB2_S261,False
PKACA,ADRB2_S262,False
PKACA,ADRB2_S345,False
PKACA,ADRB2_S346,False
GRK2,ADRB2_S355,False
GRK3,ADRB2_S355,False
GRK5,ADRB2_S355,False
GRK6,ADRB2_S355,False
GRK2,ADRB2_S356,False
GRK5,ADRB2_S356,False
GRK2,ADRB2_S396,False
GRK2,ADRB2_S401,False
GRK2,ADRB2_S407,False
GRK5,ADRB2_S407,False
GRK2,ADRB2_S411,False
GRK5,ADRB2_S411,False
GRK2,ADRB2_T384,False
GRK5,ADRB2_T384,False
GRK5,ADRB2_T393,False
Ret,AFAP1L2_Y54,False
PKCA,AFAP_S277,False
Src,AFAP_Y125,False
Src,AFAP_Y451,False
Src,AFAP_Y453,False
Src,AFAP_Y93,False
Src,AFAP_Y94,False
Akt3,AGO2_S387,False
MAPKAPK2,AGO2_S387,False
P38A,AGO2_S387,False
CK1A,AGO2_S824,False
CK1A,AGO2_S828,False
CK1A,AGO2_S831,False
CK1A,AGO2_S834,False
CK1A,AGO2_T830,False
EGFR,AGO2_Y393,False
Src,AGO2_Y393,False
Src,AGO2_Y529,False
Src,AGO2_Y749,False
CDK1,AHNAK_S5763,False
PKCA,AHR_S12,False
PKCA,AHR_S36,False
GSK3B,AHR_S436,False
GSK3B,AHR_S440,False
GSK3B,AHR_S444,False
GSK3B,AHR_S689,False
GSK3B,AHR_S727,False
GSK3B,AHR_T731,False
Abl,AHSA1_Y223,False
PKACA,AID_S38,False
CK2A1,AIP_S43,False
DNAPK,AIRE_S156,False
DNAPK,AIRE_T68,False
GSK3B,AKAP11_T1136,False
GSK3B,AKAP11_T1140,False
PKACA,AKAP12_S627,False
PKACA,AKAP12_S698,False
ATR,AKAP12_S732,False
PKACA,AKAP12_S772,False
CDK1,AKAP12_T618,False
PKACA,AKAP13_S2733,False
ERK2,AKAP4_T265,False
CAMK2A,AKAP5_S92,False
CAMK2A,AKAP5_T87,False
LYN,AKAP8_Y146,False
Src,AKAP8_Y146,False
Src,AKAP8_Y150,False
LYN,AKAP8_Y152,False
Src,AKAP8_Y152,False
LYN,AKAP8_Y154,False
Src,AKAP8_Y154,False
LYN,AKAP8_Y170,False
Src,AKAP8_Y170,False
LYN,AKAP8_Y311,False
Src,AKAP8_Y311,False
LYN,AKAP8_Y436,False
Src,AKAP8_Y436,False
LYN,AKAP8_Y51,False
LYN,AKAP8_Y53,False
Src,AKAP8_Y53,False
LYN,AKAP8_Y539,False
Src,AKAP8_Y539,False
LYN,AKAP8_Y80,False
Src,AKAP8_Y80,False
PKACA,AKAP9_S43,False
CDK2,AKIRIN2_S18,False
CDK2,AKIRIN2_S21,False
AurA,ALDH1A1_T442,False
AurA,ALDH1A1_T493,False
PKCE,ALDH2_S296,False
PKCE,ALDH2_T202,False
AMPKA1,ALDH2_T356,False
PKCE,ALDH2_T429,False
CDK2,ALDH5A1_T181,False
ALK,ALK_Y1278,False
ALK,ALK_Y1604,False
IKKA,AMBRA1_S1043,False
ULK1,AMBRA1_S465,False
mTOR,AMBRA1_S52,False
ULK1,AMBRA1_S635,False
CDK5,AMFR_S516,False
CDK1,AML1 iso8_S276,False
CDK2,AML1 iso8_S276,False
