NodeIdentifier1,NodeIdentifier2,InTestSet
D016572,D002294,True
D000077209,D002294,True
D017313,D002294,True
C018381,D002294,True
C019133,D002294,True
D000077185,D018357,True
D000069286,D018357,True
D008727,D012798,True
D002746,D012798,True
D003561,D011087,True
D045167,D054556,True
C109079,D054556,True
D000077152,D054556,True
D017373,D054556,True
D002317,D016470,True
D015281,D016470,True
D003278,D010689,True
D019946,D010689,True
D013874,D010689,True
D010068,D010689,True
D002435,D010689,True
D000677,D010689,True
D002514,D010689,True
D002927,D010689,True
D005641,D010689,True
D002512,D010689,True
D002939,D010689,True
D002994,D016883,True
D015742,D002318,True
C027576,D002318,True
D015215,D002318,True
C024989,D002318,True
C024746,D002318,True
D008687,D002318,True
C106538,D002318,True
D052246,D002318,True
D002040,D002318,True
D008874,D002318,True
D002945,D002318,True
D000806,D002318,True
D014991,D002318,True
C477779,D002318,True
D005492,D002318,True
D008076,D002318,True
D008274,D002318,True
D008767,D002318,True
D007529,D002318,True
D016718,D002318,True
D009538,D002318,True
D007479,D002318,True
D000991,D002318,True
D017035,D002318,True
D007654,D002318,True
C014794,D002318,True
C006552,D002318,True
D013999,D002318,True
D000077404,D018856,True
D000077287,D001008,True
D014191,D001008,True
D001556,D001008,True
D000077236,D001008,True
D004390,D001008,True
D008787,D001008,True
D004308,D001008,True
D000077152,D001008,True
D006886,D001008,True
C480679,D001008,True
D003300,D001008,True
D014635,D001008,True
D000078306,D001008,True
D004079,D001008,True
D002746,D001008,True
D001194,D001008,True
C410127,D001008,True
D010936,D001008,True
D007854,D001008,True
D000077185,D009134,True
D003474,D009134,True
D015766,D014120,True
D000077265,D004421,True
D058786,D004421,True
C005177,D004421,True
D013847,D004421,True
D011803,D004421,True
D008152,D004421,True
D003501,D004421,True
C542869,D004421,True
D015103,D004421,True
D004221,D004421,True
D015283,D004421,True
D003042,D004421,True
D000069287,D004421,True
D007980,D004421,True
C092292,D004421,True
D000077149,D004421,True
D009538,D004421,True
D008784,D004421,True
D018680,D004421,True
D017378,D004421,True
D007650,D029424,True
D004837,D029424,True
D009151,D029424,True
D011239,D020019,True
D015760,D006935,True
D002245,D006935,True
C055382,D006935,True
D000666,D006331,True
D009270,D006331,True
D000628,D006331,True
D000661,D006331,True
D015215,D006331,True
D012964,D006331,True
D011803,D006331,True
D000077185,D006331,True
D008278,D006331,True
D002110,D006331,True
D003975,D006331,True
D008130,D006331,True
D014001,D006331,True
D002994,D006331,True
C447082,D006331,True
D002104,D006331,True
D003847,D006331,True
D007472,D006331,True
D006861,D006331,True
D014700,D006331,True
D004206,D006331,True
C019161,D006331,True
D045930,D006331,True
D003907,D006331,True
D004785,D006331,True
C495703,D006331,True
D009543,D006331,True
D052638,D006331,True
C022921,D006331,True
D005978,D006331,True
D005473,D006331,True
D014147,D006331,True
C017218,D006331,True
D007479,D006331,True
D017035,D006331,True
D000639,D006331,True
D003630,D006331,True
C031637,D006331,True
D017878,D015529,True
C011664,D046748,True
D000925,D046748,True
C036989,D018248,True
C012177,D018248,True
C036567,D018248,True
C006253,D018248,True
D009640,D018248,True
C051786,D008224,True
C087651,D008224,True
C028577,D004715,True
D007213,D004715,True
D011374,D012734,True
D019833,D012734,True
D011241,D016603,True
D011241,D010024,True
C023036,D010024,True
C056599,D010024,True
D007501,D010024,True
D000431,D010024,True
D003907,D010024,True
D019386,D010024,True
D006887,D010024,True
D019833,D010024,True
D005419,D010024,True
D044966,D010024,True
D014266,D009369,True
C068874,D009369,True
C010770,D009369,True
D002396,D009369,True
C421458,D009369,True
D011794,D009369,True
D010205,D009369,True
D004126,D009369,True
C017947,D009369,True
C526438,D009369,True
D000077403,D009369,True
D014112,D009369,True
D015032,D009369,True
C036251,D009369,True
C002669,D009369,True
C479122,D009369,True
D003300,D009369,True
D000965,D009369,True
D001608,D009369,True
D011084,D009369,True
C015499,D009369,True
D011134,D009369,True
D008558,D009369,True
D000068196,D009369,True
C031763,D009369,True
D008917,D009369,True
D011848,D009369,True
C045950,D009369,True
D004958,D009369,True
D000077547,D009369,True
C017557,D009369,True
D011809,D009369,True
D011929,D009369,True
D011838,D009369,True
D001713,D009369,True
D003630,D009369,True
C023622,D009369,True
D020849,D012488,True
D008528,D012488,True
D007190,D002545,True
D004967,D002545,True
D009553,D002545,True
D000438,D002545,True
D004837,D002545,True
D008550,D002545,True
D005466,D002545,True
D005472,D002545,True
D008911,D002545,True
D020108,D002545,True
D006895,D002545,True
D009118,D002545,True
D001966,D002057,True
D010936,D002057,True
D007980,D020189,True
C009265,D020189,True
D014751,D000077277,True
D009151,D005132,True
D008274,D002547,True
D014859,D013122,True
D010653,D013122,True
C009160,D013122,True
D015632,D020267,True
D017693,D000137,True
D001241,D000137,True
D009268,D000137,True
D002066,D013733,True
D014992,D013733,True
D012969,D013733,True
D008731,D013733,True
D008063,D013733,True
D015032,D013733,True
C009277,D013733,True
D002104,D013733,True
C024836,D013733,True
D019833,D013733,True
C007366,D013733,True
D002746,D013733,True
C542870,D005401,True
C053044,D018827,True
D016285,D018827,True
D000069605,D003233,True
D010656,D003233,True
C062735,D003233,True
D015032,D011488,True
D000305,D006073,True
D000077585,D006073,True
D000069465,D006073,True
D006852,D006073,True
C086509,D006073,True
D004365,D006073,True
C473384,D006073,True
D004054,D003085,True
D000077555,D012164,True
D007461,D012164,True
C533671,D012164,True
D001786,D012164,True
D002738,D012164,True
D000432,D012164,True
D000077288,D002289,True
D004221,D002289,True
D009944,D002289,True
D000077146,D002289,True
D014751,D002289,True
D013881,D007177,True
D014750,D007177,True
D008750,D007177,True
D008140,D007177,True
D001553,D058625,True
D008727,D058625,True
D004221,D010009,True
D009661,D016103,True
D009538,D014133,True
D000077555,D001100,True
D000638,D017563,True
D004655,D017563,True
D010396,D017563,True
D009538,D017563,True
D014750,D006429,True
D008775,D006429,True
C095424,D006429,True
D008727,D006429,True
D018967,D020258,True
D015742,D020258,True
D006533,D020258,True
D003471,D020258,True
C118559,D020258,True
D005278,D020258,True
D008691,D020258,True
D012402,D020258,True
D004006,D020258,True
D004221,D020258,True
C010974,D020258,True
C036337,D020258,True
D002125,D020258,True
D006862,D020258,True
C002802,D020258,True
C091584,D020258,True
D000448,D020258,True
D012503,D020258,True
C011269,D020258,True
D003561,D020258,True
C028521,D020258,True
D019274,D020258,True
D015525,D020258,True
D013792,D054747,True
D002442,D010538,True
D014527,D010538,True
D015054,D010538,True
D005437,D010538,True
D008727,D010538,True
D009240,D010538,True
D002939,D010538,True
D017638,D008654,True
D000077157,D008654,True
D003300,D008654,True
D001241,D008654,True
C052518,D011507,True
D000068756,D011507,True
D000525,D011507,True
C408690,D011507,True
D012965,D011507,True
C017947,D011507,True
D007052,D011507,True
C108475,D011507,True
D007660,D011507,True
D015251,D011507,True
D011339,D011507,True
D015032,D011507,True
D017636,D011507,True
C016927,D011507,True
D003000,D011507,True
D012643,D011507,True
D006046,D011507,True
D008775,D011507,True
D013311,D011507,True
D014635,D011507,True
C518404,D011507,True
C052035,D011507,True
C025759,D011507,True
C567989,D011507,True
D004977,D011507,True
D019256,D011507,True
D001688,D011507,True
C038983,D011507,True
D009638,D011507,True
D002083,D010190,True
D014750,D010190,True
D003520,D010190,True
D004221,D010190,True
D013311,D010190,True
D014028,D010190,True
D000077204,D010190,True
D009538,D010190,True
D002084,D010190,True
C499366,D010190,True
C479163,D010190,True
D000077237,D010190,True
D005047,D010190,True
D015474,D007235,True
D000077288,D000855,True
D007792,D000855,True
D011224,D000855,True
D000638,D000855,True
D019257,D000855,True
C488250,D000855,True
D007099,D000855,True
D013754,D000855,True
D008787,D000855,True
D028321,D000855,True
D010665,D000855,True
C515050,D000855,True
D008616,D000855,True
D008736,D000855,True
D010672,D000855,True
D016651,D000855,True
D008775,D000855,True
D002330,D000855,True
D002955,D000855,True
D000967,D000855,True
D014289,D000855,True
C009265,D000855,True
D007069,D000855,True
D011526,D000855,True
D004997,D000855,True
D007213,D000855,True
D008076,D024821,True
D009525,D024821,True
D015080,D001745,True
D019806,D001745,True
D009637,D001745,True
D000143,D001745,True
D010634,D001745,True
C500085,D001745,True
D002443,D001745,True
C095512,D001745,True
D000527,D004760,True
D001058,D010554,True
D000547,D010554,True
D008728,D010554,True
D019819,D010554,True
C073318,D010554,True
C015542,D010554,True
C056892,D001724,True
D001151,D001724,True
D014028,D001724,True
D008628,D001724,True
D052638,D001724,True
D004041,D001724,True
D019266,D001724,True
D000393,D001724,True
D006581,D001724,True
D008619,D048949,True
D003000,D048949,True
D008614,D048949,True
D010672,D006986,True
C044594,D006986,True
D019207,D006986,True
D006051,D006963,True
D010074,D019247,True
D004052,D008679,True
D001554,D008679,True
D001564,D008679,True
D019808,D058426,True
D000077185,D058426,True
D003520,D007952,True
D015662,D010198,True
D002606,D010198,True
D017706,D010198,True
D002220,D010198,True
D005047,D010198,True
D016190,D009447,True
D000077204,D009447,True
D000077209,D009447,True
D007069,D009447,True
C066308,D009447,True
D001463,D007592,True
D002219,D005203,True
D011405,D053840,True
D015118,D015228,True
D005707,D015228,True
D012256,D015228,True
C553724,D015228,True
D003000,D019955,True
D003024,D019955,True
C097284,D010998,True
D008727,D010998,True
D004837,D001988,True
C022838,D001988,True
D017632,D001988,True
C500026,D003967,True
C061363,D003967,True
D007792,D003967,True
C054649,D003967,True
C071315,D003967,True
D013752,D003967,True
D000077764,D003967,True
D003606,D003967,True
D003520,D003967,True
D012293,D003967,True
D013988,D003967,True
D008063,D003967,True
D001728,D003967,True
D000077403,D003967,True
D014302,D003967,True
C079905,D003967,True
C011677,D003967,True
D002444,D003967,True
C017367,D003967,True
D015242,D003967,True
D008034,D003967,True
C060190,D003967,True
D014203,D003967,True
D018119,D003967,True
C480833,D003967,True
C419502,D003967,True
D017335,D003967,True
C017218,D003967,True
D007741,D003967,True
D000077483,D003967,True
D003915,D003967,True
D004997,D003967,True
D019329,D003967,True
C436447,D003967,True
D009173,D003967,True
D006495,D051516,True
D008704,D000532,True
D007472,D002305,True
D002220,D002305,True
D008727,D002305,True
D014750,D017599,True
D013852,D017599,True
D010672,D008607,True
D010634,D008607,True
D008727,D004660,True
D008070,D004660,True
C095424,D014899,True
D005472,D014062,True
C030397,D010899,True
D005050,D012393,True
D002981,D012393,True
D004318,D012393,True
D002110,D008206,True
D010672,D008206,True
D000077210,D008206,True
C570037,D008206,True
D002220,D008206,True
D019888,D013964,True
C011749,D013964,True
D000077270,D013964,True
C001049,D013964,True
D000077484,D013964,True
D004317,D013964,True
D002084,D013964,True
D012974,D013964,True
D011441,D013964,True
D011794,D007333,True
D003300,D007333,True
D006852,D007333,True
C570834,D007333,True
D001599,D007333,True
D000872,D007333,True
D005907,D007333,True
D000393,D007333,True
C051452,D007333,True
D044243,D007333,True
D004809,D007333,True
D016651,C538446,True
D014751,D019575,True
C500085,D008067,True
C416023,D000231,True
D008770,D000231,True
D003676,D009755,True
D008694,D015526,True
D014750,D009396,True
D003609,D009396,True
D000078305,D020329,True
C461261,D020329,True
D011342,D014927,True
D010646,D001022,True
D000077261,D001022,True
D002701,D008581,True
D012460,D008581,True
C056498,D008581,True
D001398,D008581,True
D001971,D008581,True
D013411,D008581,True
D007213,D008581,True
D008034,D004696,True
D003042,D004696,True
D010400,D004696,True
D009254,D004696,True
D011310,D005148,True
D016559,D005148,True
C437965,D005355,True
D010423,D005355,True
D018967,D005355,True
D007545,D005355,True
C499814,D005355,True
D002110,D005355,True
D013148,D005355,True
C038044,D005355,True
C575594,D005355,True
D005947,D005355,True
D010546,D005355,True
D008550,D005355,True
C093844,D005355,True
C532422,D005355,True
D000077333,D005355,True
D017706,D005355,True
C561695,D005355,True
D015784,D005355,True
D004041,D005355,True
D008767,D005355,True
D001379,D005355,True
D005707,D005355,True
D014212,D005355,True
C093896,D005355,True
D001194,D005355,True
D008070,D005355,True
D013654,D005355,True
C022777,D012516,True
D004221,D012516,True
D000077146,D012516,True
D002955,D012516,True
D008727,D012516,True
D005047,D012516,True
C022146,D012516,True
D015031,D008064,True
D003078,D008064,True
C023768,D008064,True
D000068877,D008064,True
C017691,D008064,True
D011796,D008064,True
D000068538,D008064,True
D007854,D008064,True
C100190,D008064,True
D011716,D007411,True
D008787,D018589,True
D003622,D003873,True
D010672,D003873,True
D002511,D003873,True
D017964,D014006,True
C437965,D015428,True
D011794,D015428,True
D017257,D015428,True
D000077154,D015428,True
C466420,D015428,True
D009020,D015428,True
D005947,D015428,True
D014700,D015428,True
C109695,D015428,True
C116926,D015428,True
D000493,D015428,True
D052638,D015428,True
D008911,D015428,True
D000077204,D008231,True
D000967,D008231,True
D012721,D008231,True
D017258,D007752,True
C047046,D007752,True
C024565,D007752,True
D004997,D013919,True
D011241,D011014,True
D002701,D011014,True
D015365,D011014,True
D007501,D011014,True
D000305,D011014,True
D011791,D011014,True
D014028,D011014,True
C035353,D011014,True
C030973,D011014,True
D014614,D011014,True
D003620,D011014,True
C043836,D011014,True
D002443,D011014,True
D007530,D013224,True
D008775,D013224,True
C005059,D008114,True
D014520,D008114,True
C030419,D008114,True
C006757,D008114,True
C046942,D008114,True
D004052,D008114,True
C016829,D008114,True
D014293,D008114,True
D004136,D008114,True
D010879,D008114,True
C030814,D008114,True
D010634,D008114,True
D016604,D008114,True
C062494,D008114,True
D012451,D008114,True
C011890,D008114,True
C009536,D008114,True
D009638,D008114,True
D000077289,D018269,True
C017180,D019465,True
C113145,D019465,True
D007649,D019465,True
D010672,D019465,True
C025589,D019465,True
D002220,D019465,True
C447880,D019465,True
D000077237,D019465,True
C119620,D019465,True
D005472,D019465,True
D000638,D006501,True
D008704,D006501,True
D015032,D006501,True
C051752,D006501,True
C010882,D014075,True
D011342,D020277,True
D003471,D006849,True
D007190,D013575,True
D002228,D013575,True
D000638,D013575,True
D016898,D013575,True
D007545,D013575,True
D002110,D013575,True
D014635,D013575,True
D002738,D013575,True
D013015,D013575,True
D013999,D013575,True
D020123,D006947,True
D013874,D006947,True
D000806,D006947,True
D000658,D006947,True
C086276,D006947,True
D007213,D006947,True
C068538,D006947,True
C011030,D013319,True
D003520,D014123,True
D003622,D014123,True
D002939,D014123,True
D000667,D002764,True
D006493,D002764,True
D007213,D002764,True
D007461,D020370,True
C012655,D020370,True
C482199,C566417,True
C514017,D000544,True
C050426,D000544,True
D017374,D000544,True
D014807,D000544,True
D005459,D000544,True
C034912,D000544,True
D012110,D000544,True
D019327,D000544,True
D008094,D000544,True
D012701,D000544,True
D015735,D000544,True
C075257,D000544,True
C026718,D000544,True
D017382,D000544,True
C072936,D000544,True
D008911,D000544,True
C015068,D000544,True
C064294,D003921,True
C501362,D003921,True
D005947,D003921,True
D000077205,D003921,True
D019377,D003921,True
D008076,D003921,True
D001629,D003921,True
D007294,D003921,True
D009288,D003921,True
C002601,D003921,True
C560790,D012771,True
D013739,D012771,True
C036901,D012771,True
D000077157,D046152,True
D008063,D058065,True
D000806,D058065,True
D013311,D058065,True
D004054,D006390,True
D011929,D006390,True
C002070,D001859,True
D017239,D001859,True
D000527,D017445,True
D010575,D012140,True
C012568,D012140,True
D004397,D012140,True
D008345,D012140,True
D004006,D058267,True
D026023,D058267,True
D008550,D020138,True
D014805,D020138,True
D005492,D020138,True
D000077563,D020138,True
D015474,D020138,True
D000638,D006486,True
D000069287,D020434,True
C014794,D020434,True
D016595,D020434,True
D013148,D008599,True
C031649,D008599,True
D001280,D008599,True
D003907,D008599,True
D008344,D008599,True
D017367,D008599,True
D007306,D008599,True
D011241,D009212,True
D010419,D009212,True
D002117,D009212,True
D006221,D009212,True
D015242,D014376,True
D011239,D014376,True
D002207,D014376,True
D002228,D012002,True
C028491,D002546,True
D019821,D002546,True
D004176,D002546,True
D006918,D002546,True
D025101,D013001,True
D011899,D005764,True
D018723,D005764,True
C033968,D005764,True
D003894,D003550,True
D015242,D003550,True
D064747,D003550,True
D001398,D003550,True
D006886,D004239,True
D000077212,D006732,True
D010672,D055496,True
D010100,D018487,True
D000628,D018487,True
D004071,D018487,True
D000661,D018487,True
D010269,D018487,True
C017947,D018487,True
C410216,D018487,True
D004656,D018487,True
D004837,D018487,True
D002945,D018487,True
D007548,D018487,True
D008680,D018487,True
D000068577,D018487,True
D017665,D018487,True
D008694,D018487,True
C004479,D018487,True
D000420,D018487,True
D002443,D018487,True
D009638,D018487,True
C031132,D007681,True
D000082,D007681,True
D005439,D007681,True
D019946,D000140,True
D019438,D000140,True
D004837,D000140,True
D012254,D000140,True
D028321,D013651,True
D014011,D013651,True
